日付,市場コード,市場名称,カテゴリーコード,カテゴリー名称,数量
2021/08/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,417100.7226
2021/08/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,92109.0442
2021/08/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,194888.3787
2021/08/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,394725.0887
2021/08/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,86013.5789
2021/08/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,193074.3459
2021/08/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,368529.9757
2021/08/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95713.6727
2021/08/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,181188.8001
2021/08/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,322693.8444
2021/08/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,69455.687
2021/08/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,166197.2957
2021/08/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,337877.2393
2021/08/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,76102.8947
2021/08/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,172260.2595
2021/08/06,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,352355.5192
2021/08/06,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,73296.1208
2021/08/06,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,182632.5284
2021/08/07,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,404415.2976
2021/08/07,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95778.7303
2021/08/07,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,216587.0851
2021/08/08,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,417465.4902
2021/08/08,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,87665.5344
2021/08/08,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,200660.6404
2021/08/09,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,388268.8482
2021/08/09,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,79378.2723
2021/08/09,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,200675.2711
2021/08/10,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,411112.4416
2021/08/10,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,99930.5763
2021/08/10,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,205575.1065
2021/08/11,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,365467.1004
2021/08/11,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,76099.1104
2021/08/11,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,178379.1987
2021/08/12,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,421103.3403
2021/08/12,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,90624.6314
2021/08/12,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,211355.5764
2021/08/13,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,419770.1976
2021/08/13,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,90921.6481
2021/08/13,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,222448.0011
2021/08/14,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,355445.7198
2021/08/14,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,81459.9998
2021/08/14,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,185346.0772
2021/08/15,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,444434.9065
2021/08/15,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,100334.2333
2021/08/15,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,214143.3717
2021/08/16,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,391925.2564
2021/08/16,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,87454.4933
2021/08/16,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,174447.8871
2021/08/17,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,357648.464
2021/08/17,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98692.6717
2021/08/17,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,159809.7588
2021/08/18,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,361261.022
2021/08/18,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,83220.9643
2021/08/18,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,164097.9271
2021/08/19,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,352484.1567
2021/08/19,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,85309.5962
2021/08/19,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,167401.5391
2021/08/20,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,341986.3222
2021/08/20,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,80625.1012
2021/08/20,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,161651.7659
2021/08/21,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,408708.0143
2021/08/21,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,105226.2147
2021/08/21,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,196764.4828
2021/08/22,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,380851.7884
2021/08/22,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,89950.405
2021/08/22,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,170932.9572
2021/08/23,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,410426.2719
2021/08/23,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,94204.8768
2021/08/23,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,183618.7257
2021/08/24,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,371000.6557
2021/08/24,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,103532.909
2021/08/24,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,167954.1054
2021/08/25,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,377858.4998
2021/08/25,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,84555.8644
2021/08/25,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,173551.2744
2021/08/26,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,336999.4112
2021/08/26,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,82096.9842
