日付,市場コード,市場名称,カテゴリーコード,カテゴリー名称,数量
2022/08/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,447017.0032
2022/08/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,102348.4247
2022/08/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,203463.1317
2022/08/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,386999.0735
2022/08/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,112277.1159
2022/08/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,185921.1174
2022/08/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,353075.3379
2022/08/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,88972.9416
2022/08/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,171835.1747
2022/08/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,338748.4971
2022/08/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,86726.0541
2022/08/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,166427.6695
2022/08/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,371666.5685
2022/08/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,83422.3865
2022/08/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,185769.4356
2022/08/06,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,390466.9046
2022/08/06,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,99625.2639
2022/08/06,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,198087.712
2022/08/07,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,398288.245
2022/08/07,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,87936.3245
2022/08/07,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,192077.8843
2022/08/08,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,410926.4558
2022/08/08,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,91184.5277
2022/08/08,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,200872.1475
2022/08/09,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,399364.7887
2022/08/09,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,116569.0213
2022/08/09,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,194856.6771
2022/08/10,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,366876.727
2022/08/10,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,86195.675
2022/08/10,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,186818.3816
2022/08/11,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,385205.3075
2022/08/11,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,91183.3385
2022/08/11,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,205866.6672
2022/08/12,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,451901.5706
2022/08/12,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,101523.6485
2022/08/12,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,235976.69
2022/08/13,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,411917.9811
2022/08/13,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,109401.078
2022/08/13,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,220876.4361
2022/08/14,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,341124.4298
2022/08/14,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,82648.2854
2022/08/14,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,184452.8394
2022/08/15,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,433579.4316
