日付,市場コード,市場名称,カテゴリーコード,カテゴリー名称,数量
2021/12/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,396967.2667
2021/12/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,88160.6569
2021/12/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,145607.7755
2021/12/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,337192.1178
2021/12/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,80541.5046
2021/12/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,134921.572
2021/12/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,364479.9735
2021/12/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,78744.8785
2021/12/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,149237.1105
2021/12/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,421528.9471
2021/12/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,105715.6004
2021/12/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,180280.3688
2021/12/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,422728.7242
2021/12/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98155.3366
2021/12/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,168138.1991
2021/12/06,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,394193.2699
2021/12/06,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,90399.1058
2021/12/06,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,152530.9442
2021/12/07,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,361512.7545
2021/12/07,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98036.4393
2021/12/07,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,144455.7171
2021/12/08,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,325716.7753
2021/12/08,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,74718.3993
2021/12/08,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,132766.7588
2021/12/09,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,326510.0182
2021/12/09,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,76160.1435
2021/12/09,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,132003.3509
2021/12/10,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,328762.3944
2021/12/10,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,75116.634
2021/12/10,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,141076.4508
2021/12/11,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,381416.0941
2021/12/11,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,94770.6816
2021/12/11,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,170799.9902
2021/12/12,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,396376.6585
2021/12/12,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95200.9554
2021/12/12,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,163215.1996
2021/12/13,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,391617.771
2021/12/13,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,87813.7875
2021/12/13,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,150879.4779
2021/12/14,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,351009.1244
2021/12/14,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,93532.667
2021/12/14,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,139820.4949
2021/12/15,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,449885.4738
2021/12/15,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,90273.9165
2021/12/15,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,168903.1899
2021/12/16,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,321079.6664
2021/12/16,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,72539.6524
2021/12/16,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,128252.6032
2021/12/17,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,357853.0903
2021/12/17,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,81500.1774
2021/12/17,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,143191.2606
2021/12/18,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,392191.2965
2021/12/18,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95265.0733
2021/12/18,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,169741.9154
2021/12/19,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,417496.5671
2021/12/19,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,92703.8929
2021/12/19,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,164522.4138
2021/12/20,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,429141.2769
2021/12/20,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,88811.3805
