日付,市場コード,市場名称,カテゴリーコード,カテゴリー名称,数量
2022/04/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,392460.0401
2022/04/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,84650.0017
2022/04/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,170438.3603
2022/04/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,385224.9517
2022/04/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95618.6471
2022/04/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,182117.4252
2022/04/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,404620.0027
2022/04/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95980.4488
2022/04/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,173636.8775
2022/04/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,394764.9424
2022/04/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,88471.1608
2022/04/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,175743.094
2022/04/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,388283.739
2022/04/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,107077.943
2022/04/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,173019.9482
2022/04/06,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,332959.7704
2022/04/06,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,73555.3525
2022/04/06,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,148207.4434
2022/04/07,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,328624.2294
2022/04/07,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,75440.5271
2022/04/07,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,151481.7953
2022/04/08,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,359193.4409
2022/04/08,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,78310.1108
2022/04/08,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,163880.9911
2022/04/09,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,410093.6157
2022/04/09,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,106631.4759
2022/04/09,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,196587.2277
2022/04/10,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,401238.8056
2022/04/10,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,94304.0946
2022/04/10,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,181050.0443
2022/04/11,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,381906.0315
2022/04/11,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,85781.7525
2022/04/11,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,168784.905
2022/04/12,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,409652.6938
2022/04/12,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,111139.6684
2022/04/12,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,185918.785
2022/04/13,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,335329.2828
2022/04/13,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,72907.8971
2022/04/13,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,160313.8952
2022/04/14,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,341105.0058
2022/04/14,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,72219.423
2022/04/14,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,168199.7734
2022/04/15,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,459542.9062
2022/04/15,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,100069.5581
2022/04/15,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,209155.8746
2022/04/16,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,411306.3576
2022/04/16,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,100201.0734
2022/04/16,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,210282.0099
2022/04/17,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,405519.0425
2022/04/17,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,109016.5621
2022/04/17,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,190927.6178
2022/04/18,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,403395.2743
2022/04/18,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,102889.9857
2022/04/18,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,181029.021
2022/04/19,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,383753.9764
2022/04/19,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,139681.2393
2022/04/19,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,176858.6586
2022/04/20,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,333163.0772
2022/04/20,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,100044.4301
2022/04/20,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,159000.3324
2022/04/21,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,327376.2641
2022/04/21,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,100168.64
2022/04/21,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,159420.2829
2022/04/22,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,361171.1301
2022/04/22,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,105469.9377
2022/04/22,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,173072.2974
2022/04/23,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,387335.547
2022/04/23,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,124170.3327
2022/04/23,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,188010.6516
2022/04/24,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,408181.2421
2022/04/24,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,114045.7564
2022/04/24,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,187878.5628
2022/04/25,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,434366.6578
2022/04/25,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,115926.0321
2022/04/25,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,192351.3254
2022/04/26,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,338326.0997
2022/04/26,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,128066.3483
2022/04/26,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,155324.6441
2022/04/27,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,346072.1969
2022/04/27,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,105728.234
2022/04/27,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,169997.6132
2022/04/28,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,348168.9413
2022/04/28,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,108916.2308
2022/04/28,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,172742.2091
2022/04/29,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,335853.6497
2022/04/29,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,46.5371
2022/04/29,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,174284.1228
2022/04/30,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,381106.3683
2022/04/30,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,68.5777
2022/04/30,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,194804.772
2022/05/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,401290.5348
2022/05/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,71.2244
2022/05/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,189041.1014
2022/05/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,420278.8131
2022/05/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,74.567
2022/05/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,199793.3796
2022/05/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,366853.906
2022/05/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95.9494
2022/05/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,190485.8137
2022/05/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,326671.7027
2022/05/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,73.4246
2022/05/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,173388.0816
2022/05/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,355167.823
2022/05/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,58.1916
2022/05/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,186260.5917
2022/05/06,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,377201.1004
2022/05/06,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,70.0917
2022/05/06,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,163378.7589
2022/05/07,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,380146.3839
2022/05/07,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,114.7937
2022/05/07,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,182308.3796
2022/05/08,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,386803.9031
2022/05/08,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98.0079
2022/05/08,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,176773.5496
2022/05/09,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,392078.1451
2022/05/09,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,125.6727
2022/05/09,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,164549.6812
