日付,市場コード,市場名称,カテゴリーコード,カテゴリー名称,数量
2022/10/1,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,412630.5187
2022/10/1,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,1.5804
2022/10/1,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,190130.0414
2022/10/2,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,393587.7757
2022/10/2,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,0.3161
2022/10/2,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,171872.1199
2022/10/3,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,422902.6606
2022/10/3,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98351.904
2022/10/3,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,175453.9107
2022/10/4,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,382353.8966
2022/10/4,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,131906.9277
2022/10/4,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,156358.2124
2022/10/5,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,347985.1723
2022/10/5,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,92814.2477
2022/10/5,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,148079.4062
2022/10/6,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,337704.1064
2022/10/6,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95829.6921
2022/10/6,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,142200.2234
2022/10/7,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,385918.3075
2022/10/7,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,92421.4228
2022/10/7,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,166402.957
2022/10/8,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,412075.2639
2022/10/8,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,117027.9096
