日付,市場コード,市場名称,カテゴリーコード,カテゴリー名称,数量
2021/10/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,360491.6708
2021/10/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,84460.7778
2021/10/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,157407.4545
2021/10/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,372417.3468
2021/10/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,99700.2106
2021/10/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,185674.9894
2021/10/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,387781.69
2021/10/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,103765.9542
2021/10/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,179620.2617
2021/10/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,369944.7171
2021/10/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,92639.4393
2021/10/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,165864.328
2021/10/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,357666.0361
2021/10/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,107879.2234
2021/10/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,162190.1969
2021/10/06,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,307377.5742
2021/10/06,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,75621.2974
2021/10/06,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,143970.6025
2021/10/07,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,312465.3552
2021/10/07,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,80204.7039
2021/10/07,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,147531.1901
2021/10/08,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,332364.8574
2021/10/08,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,79812.7901
2021/10/08,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,159452.3607
2021/10/09,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,373972.4657
2021/10/09,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,103211.036
2021/10/09,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,198171.1747
2021/10/10,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,374040.0522
2021/10/10,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,95094.7428
2021/10/10,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,175564.6402
2021/10/11,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,368519.5262
2021/10/11,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,89839.9613
2021/10/11,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,166437.7465
2021/10/12,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,352934.7817
2021/10/12,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,104670.0521
2021/10/12,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,157408.7681
2021/10/13,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,306915.5214
2021/10/13,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,73001.5931
2021/10/13,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,143832.5068
2021/10/14,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,314338.306
2021/10/14,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,77080.3467
2021/10/14,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,144516.1335
2021/10/15,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,418257.3636
2021/10/15,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,94059.1895
2021/10/15,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,183948.9314
2021/10/16,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,375163.5149
2021/10/16,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98851.129
2021/10/16,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,183061.9358
2021/10/17,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,388486.6288
2021/10/17,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,100593.0987
2021/10/17,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,171854.8032
2021/10/18,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,398680.904
2021/10/18,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,94347.9364
2021/10/18,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,164699.4384
2021/10/19,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,365116.2389
2021/10/19,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,108578.2302
2021/10/19,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,152493.2548
2021/10/20,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,334403.4468
2021/10/20,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,77704.5458
2021/10/20,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,141742.9283
2021/10/21,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,338651.5068
2021/10/21,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,82326.4866
2021/10/21,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,141094.6998
2021/10/22,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,336858.5068
2021/10/22,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,80439.5718
2021/10/22,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,149652.6458
2021/10/23,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,389449.3675
2021/10/23,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,102967.3194
2021/10/23,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,185567.4734
2021/10/24,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,389795.786
2021/10/24,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,98045.7376
2021/10/24,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,168582.5171
2021/10/25,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,429235.6686
2021/10/25,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,97379.4505
2021/10/25,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,174325.9595
2021/10/26,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,364141.8987
2021/10/26,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,102382.765
2021/10/26,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,154266.9727
2021/10/27,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,322172.8366
2021/10/27,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,73137.5355
2021/10/27,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,142439.9061
2021/10/28,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,332497.852
2021/10/28,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,79387.6027
2021/10/28,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,147270.2701
2021/10/29,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,339284.9937
2021/10/29,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,81308.7071
2021/10/29,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,153662.6791
2021/10/30,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,373108.7183
2021/10/30,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,93302.7028
2021/10/30,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,180014.2505
2021/10/31,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,396690.2053
2021/10/31,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,96274.5002
2021/10/31,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,180197.7404
2021/11/01,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,415106.2656
2021/11/01,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,91969.8706
2021/11/01,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,167726.4725
2021/11/02,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,350226.9411
2021/11/02,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,97406.0459
2021/11/02,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,154997.6433
2021/11/03,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,340461.736
2021/11/03,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,78390.3941
2021/11/03,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,160463.3512
2021/11/04,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,335180.9626
2021/11/04,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,80328.3483
2021/11/04,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,141873.7487
2021/11/05,1008--009,RDS06 スーパー 08 九州,1-1--,加工食品,348269.3499
2021/11/05,1008--009,RDS06 スーパー 08 九州,1-2--,生鮮食品,78042.8033
2021/11/05,1008--009,RDS06 スーパー 08 九州,1-3--,菓子類,147955.5346
